Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-04 08:01:45,false,"Toronto Running","2.00","137","00:10:07","148","175","162","194","5:03","4:27","6","2","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:07.43","1","0.0","00:09:35","00:10:07","79","87"
Running,2021-11-03 08:00:52,false,"Toronto Running","2.05","141","00:11:16","137","159","154","175","5:30","4:29","92","89","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:15.74","1","0.0","00:10:28","00:11:16","79","168"
Running,2021-11-02 17:05:32,false,"Toronto Running","3.18","234","00:17:03","149","175","155","181","5:22","4:19","10","6","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","17:02.73","1","0.0","00:16:12","00:17:03","75","85"
Running,2021-11-01 17:36:06,false,"Toronto Running","6.81","448","00:33:38","146","171","165","180","4:56","4:09","8","34","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","33:37.90","1","0.0","00:32:12","00:33:38","75","109"
Running,2021-10-31 23:04:14,false,"Toronto Running","2.19","146","00:11:24","138","161","166","174","5:13","4:39","3","6","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:23.99","1","0.0","00:11:21","00:11:24","75","92"
Running,2021-10-30 09:35:37,false,"Toronto Running","2.15","141","00:11:47","133","156","162","181","5:28","4:05","3","7","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:47.30","1","0.0","00:11:35","00:11:47","75","82"
Running,2021-10-29 15:50:32,false,"Toronto Running","3.36","200","00:14:45","147","178","170","190","4:24","3:50","3","7","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:45.39","1","0.0","00:14:16","00:14:45","75","82"
Running,2021-10-28 16:59:39,false,"Toronto Running","2.37","135","00:11:12","137","169","163","231","4:44","3:38","5","5","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:12.08","1","0.0","00:11:08","00:11:12","75","82"
Running,2021-10-27 17:11:02,false,"Toronto Running","2.99","209","00:14:57","149","173","164","178","5:00","4:18","14","4","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:56.89","1","0.0","00:14:26","00:14:57","79","94"
Running,2021-10-26 07:11:03,false,"Toronto Running","2.13","149","00:11:28","141","159","161","176","5:23","4:44","3","7","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:27.92","1","0.0","00:11:22","00:11:45","75","82"
Running,2021-10-25 18:13:30,false,"Toronto Running","1.01","78","00:06:07.0","139","163","152","173","6:03","4:54","--","--","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:07.02","1","0.0","00:05:44","00:06:07.0","82","84"
Running,2021-10-25 17:30:35,false,"Toronto Running","1.01","66","00:05:50.7","130","165","145","170","5:48","4:40","1","--","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:50.69","1","0.0","00:05:36","00:06:20.6","82","86"
Running,2021-10-24 10:44:23,false,"Trent Hills Running","2.04","139","00:10:43","140","166","172","188","5:15","4:25","3","1","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:42.70","1","0.0","00:10:43","00:10:43","185","191"
Running,2021-10-23 10:17:06,false,"Trent Hills Running","3.32","232","00:21:20","130","150","163","180","6:25","4:33","7","5","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","21:20.08","1","0.0","00:21:16","00:21:20","185","191"
Running,2021-10-22 12:35:26,false,"Toronto Running","3.51","226","00:16:44","146","178","166","178","4:46","2:45","177","180","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:44.47","1","0.0","00:16:40","00:16:44","75","172"
Running,2021-10-21 17:44:11,false,"Toronto Running","2.30","165","00:13:43","135","165","151","173","5:58","4:39","3","6","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:42.77","1","0.0","00:12:35","00:13:43","75","82"
